Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Estimates Start After
Serbia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,241.653,114.487,81.232,77.771,65.364,56.291,43.025,35.629,34.185,38.163,44.857,44.073,2010
Seychelles,n/a,n/a,n/a,741.448,916.112,1082.305,1292.83,1380.985,1362.489,1376.305,172.561,201.27,202.052,175.715,158.461,142.666,132.736,132.756,132.762,128.867,83.11,78.79,2010
Sierra Leone,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,160.502,199,213.277,224.569,204.674,177.87,136.68,55.186,53.734,61.835,64.652,61.118,2010
Singapore,71.121,74.056,76.448,68.96,68.195,68.064,69.556,68.866,82.378,84.917,81.178,95.38,95.514,98.739,96.051,93.418,86.759,85.85,97.205,105.013,96.286,93.47,2010
Slovak Republic,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,34.496,47.813,50.299,48.859,43.415,42.366,41.466,34.162,30.499,29.564,27.794,35.417,41.784,44.941,2010
Slovenia,n/a,n/a,n/a,n/a,n/a,17.032,20.434,21.037,21.617,22.391,26.646,27.296,28.002,27.39,27.079,27,26.7,23.401,22.503,35.467,37.257,43.638,2010
Solomon Islands,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,68.309,57.683,56.551,51.054,37.645,31.581,28.914,25.651,23.128,2009
South Africa,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,41.957,42.259,35.952,36.038,35.046,33.688,31.411,27.424,26.813,30.871,33.831,36.065,2010
Spain,42.456,43.031,45.364,56.089,58.609,63.304,67.447,66.121,64.116,62.351,59.261,55.503,52.55,48.74,46.216,43.024,39.562,36.116,39.848,53.259,60.117,67.423,2010
St. Kitts and Nevis,n/a,n/a,n/a,n/a,n/a,n/a,53.895,73.381,87.179,98.38,106.775,117.124,132.777,152.391,164.23,167.824,155.153,141.216,134.009,148.01,155.791,148.917,2010
St. Lucia,22.544,24.96,28.599,29.624,30.556,29.76,31.485,35.046,38.021,37.5,42.504,49.504,61.75,57.999,62.612,64.94,61.411,56.75,58.782,63.199,65.341,71.084,2010
St. Vincent and the Grenadines,60.806,58.029,54.934,53.596,58.289,51.584,44.528,42.454,43.139,58.096,58.96,56.714,57.503,59.433,64.682,66.494,63.797,55.601,57.011,64.91,66.832,69.484,2010
Sudan,n/a,n/a,454.864,262.608,354.994,219.552,183.81,140.316,149.126,182.104,172.285,166.562,161.112,148.828,125.051,106.992,90.895,83.725,72.779,83.644,71.637,78.22,2010
Suriname,105.891,108.503,103.889,114.979,76.617,21.215,16.864,25.642,32.48,51.713,69.405,51.995,50.347,42.734,39.546,36.013,29.525,21.181,18.026,18.542,21.554,20.042,2009
Swaziland,n/a,n/a,n/a,16.655,14.468,13.605,14.342,12.02,17.488,18.263,20.497,22.948,21.785,21.867,19.078,16.565,16.643,17.57,16.597,13.296,17.53,25.109,2009
Sweden,n/a,n/a,n/a,69.912,72.424,72.672,73.159,72.088,69.895,64.207,53.896,54.736,52.503,51.731,50.338,50.403,45.266,40.226,38.801,42.756,39.7,36.033,2010
Switzerland,38.217,39.814,45.134,49.557,52.824,56.295,58.219,60.52,63.722,60.95,61.086,61.022,67.979,67.493,71.915,72.244,64.427,57.18,54.766,54.826,54.524,52.435,2010
Syrian Arab Republic,182.641,160.98,165.734,167.681,160.544,151.621,139.995,146.115,150.403,146.642,151.158,142.897,131.213,133.515,111.61,50.228,46.933,43.209,37.399,31.406,29.714,27.529,2009
Taiwan Province of China,n/a,n/a,n/a,n/a,n/a,n/a,n/a,25.362,24.104,24.072,26.591,30.699,30.406,32.835,34.125,34.931,34.195,33.317,34.682,38.059,38.62,38.455,2010
Tajikistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,96.567,107.807,111.429,103.249,90.663,64.333,43.912,42.613,35.823,35.165,30.243,36.601,36.661,36.995,2010
Tanzania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70.617,67.385,67.014,66.648,68.101,36.986,35.017,37.141,40.078,45.008,2010
Thailand,n/a,n/a,n/a,n/a,n/a,n/a,15.193,40.455,49.881,56.585,57.826,57.522,55.052,50.689,49.462,47.345,41.992,38.347,37.268,45.218,44.059,42.97,2009
Togo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,102.14,99.929,101.473,92.986,76.802,85.27,100.718,83.145,67.802,32.288,27.616,2009
Trinidad and Tobago,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,56.123,54.855,56.521,59.079,53.208,45.177,36.839,32.575,28.858,25.371,34.443,40.134,49.966,2010
Tunisia,n/a,66.061,65.013,66.512,66.601,68.36,69.354,69.905,61.051,64.965,65.944,67.602,67.376,66.376,53.718,52.482,48.791,45.925,43.342,42.785,40.425,41.719,2010
Turkey,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,51.31,77.557,73.669,67.351,59.244,52.306,46.083,39.439,39.476,46.122,42.154,40.34,2010
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50.652,64.41,52.614,43.508,26.899,19.078,13.35,9.008,5.379,3.334,2.416,2.809,2.64,11.769,20.54,2010
Uganda,n/a,n/a,n/a,n/a,n/a,n/a,n/a,68.998,67.715,74.434,79.551,81.825,92.406,99.574,78.896,75.314,71.813,23.281,22.529,22.224,23.571,23.044,2010
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,29.88,48.129,60.976,45.287,36.549,33.537,29.359,24.746,17.702,14.803,12.313,20.549,35.38,40.059,39.342,2010
United Arab Emirates,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.815,3.093,2.69,3.595,4.404,5.64,6.632,6.8,7.821,12.518,22.519,20.992,18.498,2010
United Kingdom,32.58,31.296,32.795,37.946,43.03,46.305,48.223,49.26,46.279,43.661,40.869,37.701,37.236,38.549,40.234,42.08,43.126,43.94,52.047,68.317,75.502,80.762,2009
United States,63.9,68.384,70.736,72.417,71.583,71.115,70.299,67.795,64.573,60.843,54.835,54.747,57.118,60.425,61.495,61.729,61.146,62.331,71.607,85.245,94.356,100.046,2009
Uruguay,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50.914,107.155,104.625,90.139,77.624,70.349,63.168,61.651,61.018,57.058,49.344,2010
Uzbekistan,n/a,n/a,0,0,0,0,0,0,29.38,29.355,42.126,59.375,54.598,41.636,35.121,28.193,21.34,15.786,12.733,10.981,9.955,12.583,2009
Venezuela,n/a,n/a,n/a,n/a,71.875,66.904,59.87,40.095,37.06,38.081,31.893,34.497,46.454,49.294,42.919,33.73,28.571,30.874,24.553,32.7,38.361,43.9,2010
Vietnam,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31.652,32.535,37.882,42.262,41.215,41.848,44.583,42.896,51.161,52.847,50.338,2010
Republic of Yemen,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,96.526,61.217,60.679,57.827,56.823,52.068,43.801,40.831,40.401,36.386,49.851,40.555,42.861,2009
Zambia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,235.596,203.68,180.025,148.591,87.897,29.829,25.775,26.91,25.587,24.634,25.124,2010
Zimbabwe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,51.922,58.943,65.676,92.681,96.067,56.247,72.755,2010
