Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Estimates Start After
China,6.948,7.428,4.981,6.713,6.137,6.137,6.787,6.553,11.401,13.812,16.445,17.711,18.937,19.245,18.535,17.635,16.187,19.591,16.963,17.67,33.83,26.881,2010
Colombia,n/a,n/a,n/a,n/a,n/a,n/a,23.335,25.316,27.513,34.054,36.342,40.919,43.924,45.629,42.897,38.541,36.78,32.685,30.817,35.819,36.013,35.918,2009
Comoros,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,117.791,103.155,87.184,85.027,77.905,73.966,73.64,61.454,59.249,55.332,51.763,47.101,2010
Democratic Republic of Congo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,237.276,220.346,194.48,195.988,175.558,162.732,138.582,129.392,117.22,124.278,33.78,46.586,2010
Republic of Congo,138.937,137.778,129.495,170.464,270.183,262.809,212.208,219.989,264.443,231.632,163.223,195.784,180.289,204.372,198.679,108.271,98.816,97.957,68.063,57.238,23.832,22.049,2010
Costa Rica,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,36.578,38.611,40.785,39.996,41.035,37.47,33.311,27.552,24.783,27.365,29.557,32.65,2010
Côte d'Ivoire,n/a,n/a,n/a,n/a,n/a,n/a,n/a,121.058,106.644,110.588,109.46,96.793,93.578,90.439,84.901,86.282,84.242,75.636,75.281,66.969,66.802,93.346,2009
Croatia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,34.087,34.896,36.889,37.486,34.766,32.312,28.479,34.538,40.577,47.532,2010
Cyprus,n/a,n/a,n/a,n/a,n/a,49.034,51.72,56.432,61.8,62.53,58.822,60.715,64.631,68.942,70.199,69.081,64.641,58.325,48.284,57.987,60.8,63.96,2010
Czech Republic,n/a,n/a,n/a,n/a,n/a,14.617,12.469,13.072,15.019,16.366,18.519,24.857,28.199,29.811,30.119,29.672,29.428,28.958,29.952,35.365,38.543,41.127,2009
Denmark,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,72.402,67.055,60.4,58.386,58.25,56.647,53.599,45.359,41.022,34.064,42.174,41.78,43.653,44.327,2010
Djibouti,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,66.084,67.848,62.007,56.817,63.64,60.172,59.778,56.143,53.679,2010
Dominica,45.554,45.417,45.349,44.309,47.323,49.604,46.62,40.657,41.512,57.608,62.772,70.508,78.721,76.883,72.905,66.561,63.175,57.927,53.668,53.659,54.301,54.889,2009
Dominican Republic,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16.569,16.278,19.729,37.081,23.531,24.956,22.139,19.813,24.669,28.392,28.702,28.462,2010
Ecuador,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,81.694,67.242,59.412,50.301,43.781,35.375,33.174,26.287,24.74,20.716,20.868,2010
Egypt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100.935,114.787,112.853,112.795,98.825,87.122,74.663,75.646,73.778,76.239,2011
El Salvador,n/a,n/a,44.327,34.731,32.599,28.178,28.685,27.409,24.496,25.372,26.522,32.389,37.079,38.995,39.405,38.602,39.149,38.077,39.296,48.258,50.282,49.907,2010
Equatorial Guinea,158.569,171.154,138.234,154.096,218.126,138.239,92.094,46.722,59.823,61.081,34.399,24.171,20.807,10.413,6.164,2.986,1.627,1.083,0.653,5.064,7.535,8.52,2010
Eritrea,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,159.379,173.538,177.082,192.03,140.765,156.215,151.644,156.656,174.915,145.701,144.761,134.417,2008
Estonia,n/a,n/a,n/a,n/a,n/a,8.957,7.386,6.156,5.471,5.986,5.123,4.784,5.729,5.616,5.025,4.572,4.411,3.742,4.603,7.152,6.559,5.962,2009
Ethiopia,n/a,n/a,88.871,142.463,156.815,148.139,134.212,80.587,89.513,98.095,97.446,99.497,115.792,115.33,105.702,78.978,66.826,38.249,32.969,32.192,36.705,39.442,2010
Fiji,n/a,n/a,35.801,35.8,35.9,34.972,52.12,56.607,38.882,35.995,39.097,43.476,45.978,47.581,47.226,47.647,53.127,49.876,50.814,55.999,55.834,56.801,2007
Finland,13.839,21.9,39.361,54.226,56.532,55.518,55.723,52.854,47.619,45.664,43.793,42.46,41.468,44.511,44.387,41.703,39.632,35.158,33.943,43.285,48.385,50.224,2010
France,35.216,36.009,39.748,46.261,49.388,55.512,58.03,59.399,59.541,58.851,57.405,56.942,59.037,63.19,65.047,66.669,63.95,64.215,68.208,79.011,82.326,86.811,2010
Gabon,n/a,95.147,93.573,95.985,75.891,78.121,68.739,60.742,93.27,77.83,77.202,86.235,87.299,75.376,65.158,53.841,42.12,43.222,20.852,26.411,25.135,21.786,n/a
The Gambia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,111.03,116.619,143.976,141.887,120.904,117.911,127.646,56.261,63.032,57.005,57.826,57.664,2010
Georgia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,43.616,34.125,27.335,21.548,27.625,37.295,39.072,36.783,2010
